enabled;station;series_id;measurement_set;variable;media;destination
true;AR;AR;AR_;P;7;03_Pluie/stations/AR/raw_data/P
true;BA;BA;BA_;P;7;03_Pluie/stations/BA/raw_data/P
true;BA2;BA2;BA2;P;7;03_Pluie/stations/BA/raw_data/P
true;CE;CE;CE_;P;7;03_Pluie/stations/CE/raw_data/P
true;CR;CR;CR_;P;7;03_Pluie/stations/CR/raw_data/P
true;DD;DD;DD_;P;7;03_Pluie/stations/DD/raw_data/P
true;DD2;DD2;DD2;P;7;03_Pluie/stations/DD/raw_data/P
true;ER;ER;ER_;P;7;03_Pluie/stations/ER/raw_data/P
true;ES;ES;ES_;P;7;03_Pluie/stations/ES/raw_data/P
true;FO;FO;FO_;P;7;03_Pluie/stations/FO/raw_data/P
true;GF;GF;GF_;P;7;03_Pluie/stations/GF/raw_data/P
true;LA;LA;LA_;P;7;03_Pluie/stations/LA/raw_data/P
true;LC;LC;LC_;P;7;03_Pluie/stations/LC/raw_data/P
true;SA;SA;SA_;P;7;03_Pluie/stations/SA/raw_data/P
true;SA2;SA2;SA2;P;7;03_Pluie/stations/SA/raw_data/P
true;ACS;045_ACS;ACS;H;6;01_Rivieres/stations/045_ACS/raw_data/H
true;ACS;045_ACS;ACS;Q;16;01_Rivieres/stations/045_ACS/raw_data/Q
true;ACS;045_ACS;ACS;T;3;01_Rivieres/stations/045_ACS/raw_data/T
true;ACS;045_ACS;ACL;COND;9;01_Rivieres/stations/045_ACS/raw_data/COND
true;PA;166_PA;PA_;H;6;01_Rivieres/stations/166_PA/raw_data/H
true;PA;166_PA;PA_;Q;16;01_Rivieres/stations/166_PA/raw_data/Q
true;BU;171_BU;BU_;H;6;01_Rivieres/stations/171_BU/raw_data/H
true;BU;171_BU;BU_;Q;16;01_Rivieres/stations/171_BU/raw_data/Q
true;BU;171_BU;BU_;T;3;01_Rivieres/stations/171_BU/raw_data/T
true;AG;045_AG;AG_;H;6;01_Rivieres/stations/045_AG/raw_data/H
true;BS;045_BS;BS_;H;6;01_Rivieres/stations/045_BS/raw_data/H
true;BS;045_BS;BS_;Q;16;01_Rivieres/stations/045_BS/raw_data/Q
true;CS;045_CS;CS_;H;6;01_Rivieres/stations/045_CS/raw_data/H
true;CS;045_CS;CS_;Q;16;01_Rivieres/stations/045_CS/raw_data/Q
true;CS;045_CS;CS_;T;3;01_Rivieres/stations/045_CS/raw_data/T
true;PR;045_PR;PR_;H;6;01_Rivieres/stations/045_PR/raw_data/H
true;PR;045_PR;PR_;Q;16;01_Rivieres/stations/045_PR/raw_data/Q
true;HE;004_HE;HE_;H;6;01_Rivieres/stations/004_HE/raw_data/H
true;HE;004_HE;HE_;Q;16;01_Rivieres/stations/004_HE/raw_data/Q
true;GC;030_GC;GC_;H;6;01_Rivieres/stations/030_GC/raw_data/H
true;GC;030_GC;GC_;Q;16;01_Rivieres/stations/030_GC/raw_data/Q
true;GC;030_GC;GC_;T;3;01_Rivieres/stations/030_GC/raw_data/T
true;PG;030_PG;PG_;H;6;01_Rivieres/stations/030_PG/raw_data/H
true;PG;030_PG;PG_;Q;16;01_Rivieres/stations/030_PG/raw_data/Q
true;PG;030_PG;PG_;T;3;01_Rivieres/stations/030_PG/raw_data/T
true;LR;071_LR;LR_;H;6;01_Rivieres/stations/071_LR/raw_data/H
true;LR;071_LR;LR_;Q;16;01_Rivieres/stations/071_LR/raw_data/Q
true;LR;071_LR;LR_;T;3;01_Rivieres/stations/071_LR/raw_data/T
true;LM;014_LM;LM_;H;6;01_Rivieres/stations/014_LM/raw_data/H
true;LM;014_LM;LM_;Q;16;01_Rivieres/stations/014_LM/raw_data/Q
true;TR;014_TR;TR_;H;6;01_Rivieres/stations/014_TR/raw_data/H
true;VI;014_VI;VI_;H;6;01_Rivieres/stations/014_VI/raw_data/H
true;VI;014_VI;VI_;Q;16;01_Rivieres/stations/014_VI/raw_data/Q
true;VI;014_VI;VI_;T;3;01_Rivieres/stations/014_VI/raw_data/T
true;VXB;145_VXB;VXB;H;6;01_Rivieres/stations/145_VXB/raw_data/H
true;VXB;145_VXB;VXB;Q;16;01_Rivieres/stations/145_VXB/raw_data/Q
true;VX;145_VX;VX_;H;6;01_Rivieres/stations/145_VX/raw_data/H
true;VX;145_VX;VX_;Q;16;01_Rivieres/stations/145_VX/raw_data/Q
true;VX;145_VX;VX_;T;3;01_Rivieres/stations/145_VX/raw_data/T
false;VX;145_VX;VX_;BAT_INT;100;BD_INST/VX/BAT_INT
false;VX;145_VX;VX_;BAT_EXT;14;BD_INST/VX/BAT_EXT
true;CP;017_CP;CP_;H;6;01_Rivieres/stations/017_CP/raw_data/H
true;CP;017_CP;CP_;Q;16;01_Rivieres/stations/017_CP/raw_data/Q
true;AM;026_AM;AM_;H;6;01_Rivieres/stations/026_AM/raw_data/H
true;AM;026_AM;AM_;Q;16;01_Rivieres/stations/026_AM/raw_data/Q
true;AM;026_AM;AM_;T;3;01_Rivieres/stations/026_AM/raw_data/T
true;FC;026_FC;FC_;H;6;01_Rivieres/stations/026_FC/raw_data/H
true;FC;026_FC;FC_;Q;16;01_Rivieres/stations/026_FC/raw_data/Q
true;GTU;140_GTU;GTU;H;6;01_Rivieres/stations/140_GTU/raw_data/H
true;GTP;140_GTP;GTP;H;6;01_Rivieres/stations/140_GTP/raw_data/H
true;GG;140_GG;GG;H;6;01_Rivieres/stations/140_GG/raw_data/H
true;GO;140_GO;GO_;H;6;01_Rivieres/stations/140_GO/raw_data/H
true;GO;140_GO;GO_;Q;16;01_Rivieres/stations/140_GO/raw_data/Q
true;AV;106_AV;AV_;H;6;01_Rivieres/stations/106_AV/raw_data/H
true;AV;106_AV;AV_;Q;16;01_Rivieres/stations/106_AV/raw_data/Q
true;AV;106_AV;AV_;T;3;01_Rivieres/stations/106_AV/raw_data/T
true;AV;106_AV;AV_;COND;9;01_Rivieres/stations/106_AV/raw_data/COND
true;VC;137_VC;VC_;H;6;01_Rivieres/stations/137_VC/raw_data/H
true;NAA;007_NAA;NAA;H;6;01_Rivieres/stations/007_NAA/raw_data/H
true;NAA;007_NAA;NAA;Q;16;01_Rivieres/stations/007_NAA/raw_data/Q
true;NAA;007_NAA;NAA;T;3;01_Rivieres/stations/007_NAA/raw_data/T
true;NAA;007_NAA;NAA;COND;9;01_Rivieres/stations/007_NAA/raw_data/COND
true;EM;074_EM;EM_;H;6;01_Rivieres/stations/074_EM/raw_data/H
true;EM;074_EM;EM_;Q;16;01_Rivieres/stations/074_EM/raw_data/Q
true;CB;032_CB;CB_;H;6;01_Rivieres/stations/032_CB/raw_data/H
true;CB;032_CB;CB_;Q;16;01_Rivieres/stations/032_CB/raw_data/Q
true;RMA;032_RMA;RMA;H;6;01_Rivieres/stations/032_RMA/raw_data/H
true;RMA;032_RMA;RMA;Q;16;01_Rivieres/stations/032_RMA/raw_data/Q
